frame,user_elbow_x,user_elbow_y,user_wrist_x,user_wrist_y,pro_elbow_x,pro_elbow_y,pro_wrist_x,pro_wrist_y
0,0.32371546925491484,0.1689452994932857,0.39456869482371976,-0.09736105451334486,0.5839683396832153,0.1267189536245299,0.3709671257884026,-0.20919884441180175
1,0.32733535477776005,0.16029611045698797,0.39904872894082727,-0.10162202043685394,0.5642711812044234,0.08745974905505317,0.3922015268340615,-0.2726730829505035
2,0.3287697920602279,0.15381722133329592,0.40088757145610093,-0.10629818433475861,0.4977060684876531,0.0639773341503393,0.3528421752801599,-0.2263312569898473
3,0.33494165511406665,0.1383332221436467,0.3939686014494121,-0.11581001274277142,0.46755710313608484,0.08796936954578789,0.3182035449610953,-0.22671275339938046
4,0.3306811266265645,0.12741984411153567,0.3806844320424455,-0.12189910113193957,0.4780497890577317,-0.03395268647962538,0.2800211548693791,-0.32809966596827583
5,0.34207162717327977,0.10799570641898933,0.3504649668200589,-0.1561088237613287,0.48819328650790383,-0.05248060852696244,0.2569690909716249,-0.36220726242410267
6,0.3389653345835121,0.0974270836331156,0.3276288661771797,-0.17590575466048416,0.5065587269547889,-0.03986625755640744,0.2792135033002981,-0.33801052067011067
7,0.3479156720688079,0.08001677129076229,0.3264776562764299,-0.20458759088482747,0.5166009918962275,-0.04637658737065316,0.2896156781367385,-0.3808919582177096
8,0.34643599091308264,0.07326875853295046,0.3242685291465829,-0.20461082379260026,0.5431370018345197,-0.12499004680724933,0.33389212179429606,-0.47869175525048996
9,0.35421757239177887,0.04752215104469412,0.3187959808700345,-0.22881600354996678,0.4640830612533854,-0.18438138304820592,0.47858432565848325,-0.5161157047168673
10,0.3554214308477408,0.028410233437778792,0.3143264365318565,-0.24681892200980649,0.4795314817863745,-0.2327210118923137,0.4553527234653728,-0.6654661662030679
11,0.3636898700962773,-0.03050110330902683,0.30514475636129945,-0.2951248838604479,0.3975823547011989,-0.33226809479825814,0.5456115078803705,-0.7946691680141988
12,0.3667027106746813,-0.04876150205267761,0.2999662992774305,-0.3060754141736363,0.295927505435362,-0.3029056109942142,0.5601684206965067,-0.6909995111852761
13,0.385073150999177,-0.09064090761077241,0.31729177911218626,-0.3399976433516616,0.27401277963852055,-0.2880042222296027,0.5206224471785009,-0.7055596985117454
14,0.38881060354152874,-0.1085832982129493,0.320421325651731,-0.36106473710990694,0.23332283887290284,-0.3447191457454322,0.5092919617703106,-0.7151282313067517
15,0.39419442041118324,-0.13386400513779048,0.33096463710827945,-0.391755842627667,0.35533188392018666,-0.27746571966071126,0.5713683707969831,-0.69577576915696
16,0.3965808954878706,-0.14162267404820306,0.3438922884716538,-0.3976815459022608,0.22528374312673846,-0.30990827469190324,0.46761514832588974,-0.6932515527809294
17,0.3957365596329848,-0.1441023687778251,0.378132602101204,-0.4159246425543085,0.20796772222293736,-0.31890233062967027,0.43434738813926266,-0.7157152115153645
18,0.3963848471205566,-0.14620039666751322,0.3989069764882918,-0.4261096802445295,0.24940413545825862,-0.3128416639397088,0.47221713632402995,-0.7097123240062703
19,0.3917263244381589,-0.14938425037385766,0.418676644804267,-0.44033092374361293,0.31437487259973423,-0.29645906583066195,0.5289829097926904,-0.7081238384050873
20,0.37523274935380185,-0.1474495477808963,0.4135503019161196,-0.42947292165936707,0.3579906907639235,-0.287612197839711,0.5709319691322908,-0.7067524348653436
21,0.35705932932518897,-0.16248295142595912,0.4271873386484151,-0.42690791754177326,0.3518416748782068,-0.27851382144802445,0.5536924807340884,-0.6959113770245784
22,0.34377455078643654,-0.17389723429712695,0.43257073033247423,-0.42607789949990477,0.432225905302006,-0.3247167243660525,0.639773328903612,-0.7073845292697089
23,0.31978966646856966,-0.17361285109186902,0.4623903858178569,-0.4250749207122074,0.3070619159244821,-0.2572699317053083,0.521928641994719,-0.62705820509329
24,0.3079099714970862,-0.17148479078404516,0.4833123238255319,-0.4267109481012662,0.3362906528669486,-0.19985420654400476,0.38380109665954304,-0.4586672423422242
25,0.2962658977674923,-0.1823131130009593,0.5261930325078386,-0.43040017783687506,0.25099685279622724,-0.17744672417888233,0.2081227193425609,-0.419101948039366
