frame,time,elbow_x,elbow_y,wrist_x,wrist_y,elbow_angle
36,1.1895290322580645,0.5839683396832153,0.1267189536245299,0.3709671257884026,-0.20919884441180175,45.37857471225757
37,1.222571505376344,0.5642711812044234,0.08745974905505317,0.3922015268340615,-0.2726730829505035,55.65125730070643
38,1.2556139784946236,0.4977060684876531,0.0639773341503393,0.3528421752801599,-0.2263312569898473,56.155934678633436
39,1.288656451612903,0.46755710313608484,0.08796936954578789,0.3182035449610953,-0.22671275339938046,53.9547272606113
40,1.3216989247311828,0.4780497890577317,-0.03395268647962538,0.2800211548693791,-0.32809966596827583,60.11288401180999
41,1.3547413978494622,0.48819328650790383,-0.05248060852696244,0.2569690909716249,-0.36220726242410267,59.39280055149188
42,1.387783870967742,0.5065587269547889,-0.03986625755640744,0.2792135033002981,-0.33801052067011067,57.17314966747797
43,1.4208263440860214,0.5166009918962275,-0.04637658737065316,0.2896156781367385,-0.3808919582177096,60.97099379250907
44,1.453868817204301,0.5431370018345197,-0.12499004680724933,0.33389212179429606,-0.47869175525048996,72.35167801126683
45,1.4869112903225805,0.4640830612533854,-0.18438138304820592,0.47858432565848325,-0.5161157047168673,114.17105560142475
46,1.5199537634408602,0.4795314817863745,-0.2327210118923137,0.4553527234653728,-0.6654661662030679,112.68976247382047
47,1.5529962365591397,0.3975823547011989,-0.33226809479825814,0.5456115078803705,-0.7946691680141988,147.63773359828372
48,1.5860387096774193,0.295927505435362,-0.3029056109942142,0.5601684206965067,-0.6909995111852761,169.91734420262358
49,1.6190811827956988,0.27401277963852055,-0.2880042222296027,0.5206224471785009,-0.7055596985117454,166.9923284468754
50,1.6521236559139785,0.23332283887290284,-0.3447191457454322,0.5092919617703106,-0.7151282313067517,177.40453215003888
51,1.685166129032258,0.35533188392018666,-0.27746571966071126,0.5713683707969831,-0.69577576915696,155.29910073675555
52,1.7182086021505376,0.22528374312673846,-0.30990827469190324,0.46761514832588974,-0.6932515527809294,176.28434479819856
53,1.751251075268817,0.20796772222293736,-0.31890233062967027,0.43434738813926266,-0.7157152115153645,176.59470941493922
54,1.7842935483870968,0.24940413545825862,-0.3128416639397088,0.47221713632402995,-0.7097123240062703,170.74832173789017
55,1.8173360215053762,0.31437487259973423,-0.29645906583066195,0.5289829097926904,-0.7081238384050873,160.85381016407692
56,1.850378494623656,0.3579906907639235,-0.287612197839711,0.5709319691322908,-0.7067524348653436,155.71116571654574
57,1.8834209677419353,0.3518416748782068,-0.27851382144802445,0.5536924807340884,-0.6959113770245784,154.17284757368577
58,1.916463440860215,0.432225905302006,-0.3247167243660525,0.639773328903612,-0.7073845292697089,155.39036391357848
59,1.9495059139784945,0.3070619159244821,-0.2572699317053083,0.521928641994719,-0.62705820509329,160.1166249505079
60,1.9825483870967742,0.3362906528669486,-0.19985420654400476,0.38380109665954304,-0.4586672423422242,131.12460194532247
61,2.015590860215054,0.25099685279622724,-0.17744672417888233,0.2081227193425609,-0.419101948039366,115.19843710113341
